Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/10/2026 21:00,LONGIL,61762,61.88,5.26,-0.01
05/10/2026 21:00,MHK VL,61756,58.30,1.70,0.00
05/10/2026 21:00,MILLWD,61759,60.85,4.25,0.00
05/10/2026 21:00,N.Y.C.,61761,61.36,4.76,0.00
05/10/2026 21:00,NORTH,61755,56.49,-0.11,0.00
05/10/2026 21:00,NPX,61845,59.43,2.83,0.00
05/10/2026 21:00,O H,61846,50.30,-6.28,0.02
05/10/2026 21:00,PJM,61847,56.65,0.06,0.01
05/10/2026 21:00,WEST,61752,51.43,-5.15,0.02
05/10/2026 22:00,CAPITL,61757,48.67,1.87,0.00
05/10/2026 22:00,CENTRL,61754,46.28,-0.51,0.01
05/10/2026 22:00,DUNWOD,61760,49.75,2.95,0.00
05/10/2026 22:00,GENESE,61753,44.31,-2.48,0.01
05/10/2026 22:00,H Q,61844,46.80,0.00,0.00
05/10/2026 22:00,HUD VL,61758,49.51,2.71,0.00
05/10/2026 22:00,LONGIL,61762,50.74,3.93,-0.01
05/10/2026 22:00,MHK VL,61756,48.11,1.31,0.00
05/10/2026 22:00,MILLWD,61759,49.66,2.86,0.00
05/10/2026 22:00,N.Y.C.,61761,49.84,3.04,0.00
05/10/2026 22:00,NORTH,61755,46.89,0.09,0.00
05/10/2026 22:00,NPX,61845,52.01,2.20,-3.01
05/10/2026 22:00,O H,61846,42.20,-4.58,0.02
05/10/2026 22:00,PJM,61847,46.37,-0.42,0.01
05/10/2026 22:00,WEST,61752,42.52,-4.26,0.02
05/10/2026 23:00,CAPITL,61757,38.31,1.40,0.00
05/10/2026 23:00,CENTRL,61754,36.57,-0.33,0.00
05/10/2026 23:00,DUNWOD,61760,39.05,2.14,0.00
05/10/2026 23:00,GENESE,61753,35.36,-1.55,0.00
05/10/2026 23:00,H Q,61844,36.91,0.00,0.00
05/10/2026 23:00,HUD VL,61758,38.90,1.99,0.00
05/10/2026 23:00,LONGIL,61762,39.90,2.99,-0.01
05/10/2026 23:00,MHK VL,61756,37.83,0.92,0.00
05/10/2026 23:00,MILLWD,61759,38.93,2.03,0.00
05/10/2026 23:00,N.Y.C.,61761,39.12,2.21,0.00
05/10/2026 23:00,NORTH,61755,36.94,0.04,0.00
05/10/2026 23:00,NPX,61845,45.00,1.66,-6.43
05/10/2026 23:00,O H,61846,34.10,-2.81,0.00
05/10/2026 23:00,PJM,61847,36.76,-0.15,0.00
05/10/2026 23:00,WEST,61752,34.28,-2.62,0.00
